subclip,w-axis,x-axis,y-axis,z-axis
00005-02,5.270129423391249,5.089148577645022,4.384297136660355,2.46159387275574
00005-03,1.8242085348693988,2.731604534774704,1.5981964895768879,1.1949888793196828
00005-04,3.144474576859287,4.240359708099127,2.3506334762253207,0.9435388981459225
00005-05,0.7695345747622767,2.51028725653517,1.8991391821366277,0.8937033160799903
00005-06,1.891867860775084,1.716039151364251,1.6473088164867993,1.742103356457196
00005-07,0.7680070854104017,2.239984167676886,3.4025269658593844,0.6737757012514055
00005-08,2.706244482056351,3.3062232324932044,1.3021923560794344,0.4479135299514351
00005-09,0.8828661555216953,0.7292350601401384,1.1913289200370742,0.9046231752131579
00005-10,0.7678313120766954,1.074322089589245,1.0109008433022424,0.5032256489824556
00005-11,3.551659629072356,1.7057975974139565,1.5615907425083817,1.1770208198627488
00005-12,1.526056702627462,1.721590377683896,0.602294403781393,0.1919022081955029
00006-01,0.3660102753600262,1.7816866917126246,0.26263155964098717,0.30823027324535596
00006-02,2.233725573733509,6.600617271102742,2.1051070757965755,0.805640266174365
00006-03,0.4072439018188406,3.1866226864329876,1.8518533947646953,0.8031166100542062
00006-04,2.0778764314052895,2.3199691160488833,1.7666022668718107,0.7134449360116986
00006-05,0.3527577022119192,1.5702106525490727,0.9662222211100683,0.3817136255114178
00006-06,2.108951226485209,1.6387289436149595,3.1743269510307894,1.1976422541813205
00006-07,0.5264910385491437,3.692851760681678,1.5313480522051717,1.0585109076870913
00006-08,1.2983946479799884,0.7412130206566048,2.3895980486121746,0.7518002835174706
00006-09,0.5088624018638216,0.9327712555888343,0.9167191755895988,0.386093698042517
00006-10,0.7964996670806475,0.6181635110828723,1.311934569653654,0.3866840778817613
00006-11,1.063733772446467,1.0855710016843834,0.7059187355520951,0.4162934578988988
00006-12,2.85238816189047,0.6843483269637985,1.4383128044495237,0.5422872798425286
00007-01,1.8223412664481105,7.42151841034097,3.7160983509497734,5.9164467625478165
00007-02,3.6588294711579366,13.36843736227402,6.428844544779547,9.168096260719198
00007-03,1.3513700516259015,9.4076367120195,5.54457862185502,7.521379725019456
00007-04,1.945613838651375,4.940419120363215,1.6677205797566645,6.062937645559052
00007-05,0.48995388620966285,6.786050705262145,3.961409853701349,2.305042751819894
00007-06,4.3156059023867765,3.6164889083603744,5.0756819951629755,3.9963976533975343
00007-07,5.148722018420763,5.018337281262879,1.672433729295895,1.17941045914965
00007-08,3.796233114649674,8.488532212389606,2.0203231081321276,3.4198404613881292
00007-09,0.7891448877348679,3.1078762082344924,3.1261001952846312,0.9154766959188511
00007-10,0.24322444215491484,3.1255216526484118,0.6319510666975084,2.3492596963609533
00007-11,0.2940299944668423,0.7999650922758574,1.7412733620861451,1.2773818435061997
00007-12,2.398534569505119,6.695369469334877,1.5080721900350191,1.9965256410906764
00008-01,2.2883201745963024,4.773535052788779,5.421895812261955,9.013866202840438
00008-02,3.4105015566025347,10.360148115884119,8.02994009200623,11.527360682789274
00008-03,0.6742917374763568,6.817805224654641,5.485681370972131,7.9346680859859635
00008-04,0.98112682691721,3.7201248826079065,3.3567166293535005,7.714642391044689
00008-05,0.4864573720975928,5.008619872036798,3.7309118087894806,1.429718307699354
00008-06,5.23187754829109,1.4850868810081421,3.167663061913736,3.89184884109089
00008-07,5.954719166140686,3.3607732129195576,1.386102529176906,1.9388948009460172
